911100221003,s2m_test_20004@tests2m.com,Bharathi vidya bhavans,Grade 2,lastchance,4/16/20 8:48
911100221089,s2m_test_20091@tests2m.com,NSN,Grade 2,TEB11SMS,4/16/20 11:39
911100221111,s2m_test_20112@tests2m.com,Sri Aurabindo International School,Grade 3,TEB12SMS,4/16/20 12:52
911100221127,s2m_test_20128@tests2m.com,Angel Global school,Grade 1,ntfpush,4/16/20 14:02
911100221141,s2m_test_20142@tests2m.com,Kamala Niketan Montessori School,Grade 4,TEB11SMS,4/16/20 14:20
911100221143,s2m_test_20144@tests2m.com,Sanskriti The School,Grade 3,ntfpush,4/16/20 14:20
911100221144,s2m_test_20145@tests2m.com,Chinmaya Vidyalaya Virugambakkam,Grade 4,ntfpush,4/16/20 14:20
911100221165,s2m_test_20166@tests2m.com,Dps,Grade 4,ntfpush,4/16/20 16:11
911100221176,s2m_test_20177@tests2m.com,Pollocks Intelli School,Grade 2,ntfpush,4/16/20 17:34
911100221178,s2m_test_20179@tests2m.com,The Maple Tree,Grade 4,TEB11SMS,4/16/20 18:28
911100221180,s2m_test_20181@tests2m.com,Harvest International school,Grade 2,ntfpush,4/17/20 1:31
911100221180,s2m_test_20181@tests2m.com,Harvest International school,Grade 2,ntfuiuser,4/17/20 4:10
911100221265,s2m_test_20265@tests2m.com,SSRVM Bangalore south,Grade 3,ntfpush,4/17/20 5:45
911100221281,s2m_test_20281@tests2m.com,Anand Niketan Maninagar,Grade 4,TEB2ASMS,4/17/20 6:10
911100221089,s2m_test_20091@tests2m.com,NSN matriculation,Grade 1,TEB11SMS,4/17/20 9:20
911100221327,s2m_test_20329@tests2m.com,DPS MEGACITY,Grade 3,T1KRMSMS,4/17/20 12:03
911100221346,s2m_test_20348@tests2m.com,Indus Valley World School,Grade 4,T1KRMSMS,4/17/20 12:32
911100221360,s2m_test_20363@tests2m.com,The Samhita Academy,Grade 1,rfmsms,4/17/20 13:47
911100221373,s2m_test_20376@tests2m.com,DPS,Grade 3,rfmsms,4/17/20 13:49
911100221381,s2m_test_20384@tests2m.com,Sboa,Grade 4,rfmsms,4/17/20 13:53
