fREADom Trial,Grades 1-2,[I],6:15 pm,April 17,Grade 2,911100221003,s2m_test_21628@tests2m.com,Present
fREADom Trial,Grades 3-4,[I],4:00 pm,April 17,Grade 4,911100221281,s2m_test_20281@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],6:15 pm,April 17,Grade 3,911100221265,s2m_test_20265@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:15 pm,April 17,Grade 2,911100221176,s2m_test_20177@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:15 am,April 18,Grade 3,911100221327,s2m_test_20329@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:15 am,April 18,Grade 4,911100221346,s2m_test_20348@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],11:15 am,April 18,Grade 1,911100221360,s2m_test_20363@tests2m.com,Present
fREADom Trial,Grades 1-2,[I],11:15 am,April 18,Grade 2,911100221089,s2m_test_20091@tests2m.com,
fREADom Trial,Grades 3-4,[I],4:00 pm,April 18,Grade 4,911100221381,s2m_test_20384@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],4:00 pm,April 18,Grade 3,911100221373,s2m_test_20376@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],4:00 pm,April 18,Grade 4,911100221411,s2m_test_20414@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],4:00 pm,April 18,Grade 2,911100221413,s2m_test_20416@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],4:00 pm,April 18,Grade 3,911100221426,s2m_test_20430@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:15 pm,April 18,Grade 2,911100221462,s2m_test_20466@tests2m.com,Absent
fREADom Trial,Grades 3-4,[III],6:15 pm,April 18,Grade 3,911100221434,s2m_test_20438@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],6:15 pm,April 18,Grade 4,911100221478,s2m_test_20482@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:15 pm,April 18,Grade 2,911100221180,s2m_test_20181@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:15 am,April 19,Grade 3,911100221656,s2m_test_20664@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],11:15 am,April 19,Grade 3,911100221111,s2m_test_20112@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],11:15 am,April 19,Grade 4,911100221141,s2m_test_20142@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],11:15 am,April 19,Grade 3,911100221143,s2m_test_20144@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],11:15 am,April 19,Grade 4,911100221144,s2m_test_20145@tests2m.com,Present
